digipin,timestamp,lat,long,signal_strength
KP01-AB12-CD,2025-10-26 04:05:54,10.526668805170765,76.21325541282059,92
KP01-AB12-CD,2025-11-25 23:05:54,10.527054039978044,76.21561213743604,95
KP01-AB12-CD,2025-11-25 09:05:54,10.526084405077885,76.21329130484183,90
KP01-AB12-CD,2025-10-28 12:05:54,10.528706038995722,76.21569296989712,89
KP01-AB12-CD,2025-11-05 22:05:54,10.526866206526526,76.21390746581208,94
KP01-AB12-CD,2025-11-10 01:05:54,10.525810636449545,76.21563696020533,93
KP01-AB12-CD,2025-10-30 18:05:54,10.52805604255741,76.21317938426915,90
KP01-AB12-CD,2025-10-07 09:05:54,10.526373180192877,76.21309495279306,75
KP01-AB12-CD,2025-11-11 13:05:54,10.528809099033072,76.21425672536297,95
KP01-AB12-CD,2025-12-02 07:05:54,10.527385475720882,76.21631132803562,78
KP01-AB12-CD,2025-10-20 16:05:54,10.526734775119337,76.21471860253185,74
KP01-AB12-CD,2025-11-29 20:05:54,10.526536277284944,76.21300297455835,80
KP01-AB12-CD,2025-10-14 19:05:54,10.526107465880413,76.21428246854074,70
KP01-AB12-CD,2025-11-19 09:05:54,10.526593287770321,76.21260108519294,72
KP01-AB12-CD,2025-10-23 21:05:54,10.529074945062735,76.21477043290024,78
KP01-AB12-CD,2025-10-19 02:05:54,10.52647274895016,76.21340774691359,86
KP01-AB12-CD,2025-11-07 05:05:54,10.527119159832516,76.21242041988474,93
KP01-AB12-CD,2025-10-07 01:05:54,10.529019904679018,76.2145582080625,71
KP01-AB12-CD,2025-10-16 12:05:54,10.529077549320965,76.2152747066345,75
KP01-AB12-CD,2025-10-07 01:05:54,10.526541038402272,76.21320908491319,71
KP01-AB12-CD,2025-11-17 02:05:54,10.528227956183255,76.21270326184238,78
KP01-AB12-CD,2025-10-21 07:05:54,10.527027447469917,76.21638254385498,77
KP01-AB12-CD,2025-11-25 23:05:54,10.527249042312228,76.21436778644215,86
KP01-AB12-CD,2025-11-16 13:05:54,10.526009981609388,76.21619325950134,83
KP01-AB12-CD,2025-10-16 13:05:54,10.529589864365292,76.21267662995095,70
KP01-AB12-CD,2025-10-27 01:05:54,10.525656527137704,76.21477421718903,80
KP01-AB12-CD,2025-10-28 09:05:54,10.525828679621055,76.21363468510859,79
KP01-AB12-CD,2025-10-30 07:05:54,10.526046433894937,76.21434482247369,81
KP01-AB12-CD,2025-10-06 00:05:54,10.526478396515149,76.21573183314973,73
KP01-AB12-CD,2025-10-16 22:05:54,10.529111017580352,76.21589595462741,74
KP01-AB12-CD,2025-11-24 00:05:54,10.527433643934506,76.21365806839523,89
KP01-AB12-CD,2025-11-19 15:05:54,10.52587695952206,76.2161447700387,88
KP01-AB12-CD,2025-11-20 18:05:54,10.52796711270804,76.21405305606973,84
KP01-AB12-CD,2025-10-05 02:05:54,10.527387735746618,76.21646132034508,89
KP01-AB12-CD,2025-11-25 23:05:54,10.526439443751888,76.21600223009872,85
KP01-AB12-CD,2025-11-05 06:05:54,10.526786809947014,76.21278235036633,77
KP01-AB12-CD,2025-11-19 09:05:54,10.525954647946598,76.21509899404204,79
KP01-AB12-CD,2025-10-13 03:05:54,10.526885861855497,76.2135532961824,77
KP01-AB12-CD,2025-11-15 16:05:54,10.527613859637528,76.21579235592384,72
KP01-AB12-CD,2025-11-29 12:05:54,10.528968211669458,76.21292418926275,81
KP01-AB12-CD,2025-11-19 04:05:54,10.528584648129895,76.21333114034128,95
KP01-AB12-CD,2025-11-13 04:05:54,10.526001114039495,76.21394132709271,95
KP01-AB12-CD,2025-10-15 03:05:54,10.527400094627591,76.21442901701151,78
